"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,3.7857,2,2,6.287e-13,0,0.71429,3.034e-13,1,1,0,0,0.2,0
1,3.7857,2,2,6.4505e-13,0,0.71429,3.1316e-13,1,1,0.002,0.002,0.2,0
1,3.7857,2,2,6.6141e-13,0,0.71429,3.2291e-13,1,1,0.004,0.004,0.2,0
1,3.7857,2,2,6.7776e-13,0,0.71429,3.3267e-13,1,1,0.006,0.006,0.2,0
1,3.7857,2,2,6.9411e-13,0,0.71429,3.4243e-13,1,1,0.008,0.008,0.2,0
1,3.7857,2,2,5.4404e-13,0,0.71429,2.5825e-13,1,1,0.01,0.01,0.2,0
1,3.7857,2,2,3.7503e-13,0,0.71429,1.6337e-13,1,1,0.012,0.012,0.2,0
1,3.7857,2,2,2.0602e-13,0,0.71429,6.8499e-14,1,1,0.014,0.014,0.2,0
1,3.7857,2,2,3.7007e-14,0,0.71429,-2.6375e-14,1,1,0.016,0.016,0.2,0
1,3.7857,2,2,-1.3201e-13,0,0.71429,-1.2125e-13,1,1,0.018,0.018,0.2,0
1,3.7857,2,2,-3.0102e-13,0,0.71429,-2.1612e-13,1,1,0.02,0.02,0.2,0
1,3.7857,2,2,-4.7003e-13,0,0.71429,-3.11e-13,1,1,0.022,0.022,0.2,0
1,3.7857,2,2,-6.3904e-13,0,0.71429,-4.0587e-13,1,1,0.024,0.024,0.2,0
1,3.7857,2,2,-8.0805e-13,0,0.71429,-5.0074e-13,1,1,0.026,0.026,0.2,0
1,3.7857,2,2,-9.7707e-13,0,0.71429,-5.9562e-13,1,1,0.028,0.028,0.2,0
1,3.7857,2,2,-1.1461e-12,0,0.71429,-6.9049e-13,1,1,0.03,0.03,0.2,0
1,3.7857,2,2,-1.3151e-12,0,0.71429,-7.8537e-13,1,1,0.032,0.032,0.2,0
1,3.7857,2,2,-1.4841e-12,0,0.71429,-8.8024e-13,1,1,0.034,0.034,0.2,0
1,3.7857,2,2,-1.6531e-12,0,0.71429,-9.7511e-13,1,1,0.036,0.036,0.2,0
1,3.7857,2,2,-1.7446e-12,0,0.71429,-1.0157e-12,1,1,0.038,0.038,0.2,0
1,3.7857,2,2,-1.8306e-12,0,0.71429,-1.0525e-12,1,1,0.04,0.04,0.2,0
1,3.7857,2,2,-1.9167e-12,0,0.71429,-1.0893e-12,1,1,0.042,0.042,0.2,0
1,3.7857,2,2,-2.0027e-12,0,0.71429,-1.1261e-12,1,1,0.044,0.044,0.2,0
1,3.7857,2,2,-2.0888e-12,0,0.71429,-1.1629e-12,1,1,0.046,0.046,0.2,0
1,3.7857,2,2,-2.1748e-12,0,0.71429,-1.1997e-12,1,1,0.048,0.048,0.2,0
1,3.7857,2,2,-2.2609e-12,0,0.71429,-1.2365e-12,1,1,0.05,0.05,0.2,0
1,3.7857,2,2,-2.347e-12,0,0.71429,-1.2734e-12,1,1,0.052,0.052,0.2,0
1,3.7857,2,2,-2.433e-12,0,0.71429,-1.3102e-12,1,1,0.054,0.054,0.2,0
1,3.7857,2,2,-2.5191e-12,0,0.71429,-1.347e-12,1,1,0.056,0.056,0.2,0
1,3.7857,2,2,-2.288e-12,0,0.71429,-1.2051e-12,1,1,0.058,0.058,0.2,0
1,3.7857,2,2,-1.7537e-12,0,0.71429,-8.9249e-13,1,1,0.06,0.06,0.2,0
1,3.7857,2,2,-1.2194e-12,0,0.71429,-5.7986e-13,1,1,0.062,0.062,0.2,0
1,3.7857,2,2,-6.8506e-13,0,0.71429,-2.6722e-13,1,1,0.064,0.064,0.2,0
1,3.7857,2,2,-1.5075e-13,0,0.71429,4.5418e-14,1,1,0.066,0.066,0.2,0
1,3.7857,2,2,3.8356e-13,0,0.71429,3.5805e-13,1,1,0.068,0.068,0.2,0
1,3.7857,2,2,9.1786e-13,0,0.71429,6.7069e-13,1,1,0.07,0.07,0.2,0
1,3.7857,2,2,1.4522e-12,0,0.71429,9.8333e-13,1,1,0.072,0.072,0.2,0
1,3.7857,2,2,1.9865e-12,0,0.71429,1.296e-12,1,1,0.074,0.074,0.2,0
1,3.7857,2,2,2.4288e-12,0,0.71429,1.5744e-12,1,1,0.076,0.076,0.2,0
1,3.7857,2,2,2.8522e-12,0,0.71429,1.8457e-12,1,1,0.078,0.078,0.2,0
1,3.7857,2,2,3.2756e-12,0,0.71429,2.1171e-12,1,1,0.08,0.08,0.2,0
1,3.7857,2,2,3.699e-12,0,0.71429,2.3884e-12,1,1,0.082,0.082,0.2,0
1,3.7857,2,2,4.1224e-12,0,0.71429,2.6598e-12,1,1,0.084,0.084,0.2,0
1,3.7857,2,2,4.5458e-12,0,0.71429,2.9311e-12,1,1,0.086,0.086,0.2,0
1,3.7857,2,2,4.9692e-12,0,0.71429,3.2025e-12,1,1,0.088,0.088,0.2,0
1,3.7857,2,2,6.0051e-12,0,0.71429,3.8564e-12,1,1,0.09,0.09,0.2,0
1,3.7857,2,2,7.1508e-12,0,0.71429,4.5789e-12,1,1,0.092,0.092,0.2,0
1,3.7857,2,2,8.2965e-12,0,0.71429,5.3015e-12,1,1,0.094,0.094,0.2,0
1,3.7857,2,2,9.4422e-12,0,0.71429,6.024e-12,1,1,0.096,0.096,0.2,0
1,3.7857,2,2,1.0588e-11,0,0.71429,6.7466e-12,1,1,0.098,0.098,0.2,0
1,3.7857,2,2,1.1734e-11,0,0.71429,7.4691e-12,1,1,0.1,0.1,0.2,0
1,3.7857,2,2,1.2879e-11,0,0.71429,8.1917e-12,1,1,0.102,0.102,0.2,0
1,3.7857,2,2,1.4025e-11,0,0.71429,8.9142e-12,1,1,0.104,0.104,0.2,0
1,3.7857,2,2,1.4964e-11,0,0.71429,9.2401e-12,1,1,0.106,0.106,0.2,0
1,3.7857,2,2,1.583e-11,0,0.71429,9.4269e-12,1,1,0.108,0.108,0.2,0
1,3.7857,2,2,1.6696e-11,0,0.71429,9.6136e-12,1,1,0.11,0.11,0.2,0
1,3.7857,2,2,1.7552e-11,0,0.71429,9.7948e-12,1,1,0.112,0.112,0.2,0
1,3.7857,2,2,1.4545e-11,0,0.71429,7.8279e-12,1,1,0.114,0.114,0.2,0
1,3.7857,2,2,1.1538e-11,0,0.71429,5.8609e-12,1,1,0.116,0.116,0.2,0
1,3.7857,2,2,8.5314e-12,0,0.71429,3.8939e-12,1,1,0.118,0.118,0.2,0
1,3.7857,2,2,5.5244e-12,0,0.71429,1.927e-12,1,1,0.12,0.12,0.2,0
1,3.7857,2,2,2.575e-12,0,0.71429,-7.2118e-15,1,1,0.122,0.122,0.2,0
1,3.7857,2,2,4.5338e-12,0,0.71429,8.5188e-13,1,1,0.124,0.124,0.2,0
1,3.7857,2,2,6.4925e-12,0,0.71429,1.711e-12,1,1,0.126,0.126,0.2,0
1,3.7857,2,2,8.4513e-12,0,0.71429,2.5701e-12,1,1,0.128,0.128,0.2,0
1,3.7857,2,2,1.041e-11,0,0.71429,3.4292e-12,1,1,0.13,0.13,0.2,0
1,3.7857,2,2,1.2369e-11,0,0.71429,4.2883e-12,1,1,0.132,0.132,0.2,0
1,3.7857,2,2,1.2328e-11,0,0.71429,4.0403e-12,1,1,0.134,0.134,0.2,0
1,3.7857,2,2,8.4019e-12,0,0.71429,2.5099e-12,1,1,0.136,0.136,0.2,0
1,3.7857,2,2,-8.3267e-14,0,0.71429,-2.0403e-12,1,1,0.138,0.138,0.2,0
1,3.7857,2,2,-1.3165e-11,0,0.71429,-1.0214e-11,1,1,0.14,0.14,0.2,0
1,3.7857,2,2,-2.6246e-11,0,0.71429,-1.8387e-11,1,1,0.142,0.142,0.2,0
1,3.7857,2,2,-4.0149e-11,0,0.71429,-2.7219e-11,1,1,0.144,0.144,0.2,0
1,3.7857,2,2,-6.3861e-11,0,0.71429,-4.3914e-11,1,1,0.146,0.146,0.2,0
1,3.7857,2,2,-8.7574e-11,0,0.71429,-6.0608e-11,1,1,0.148,0.148,0.2,0
1,3.7857,2,2,-1.1129e-10,0,0.71429,-7.7303e-11,1,1,0.15,0.15,0.2,0
1,3.7857,2,2,-1.2526e-10,0,0.71429,-8.9208e-11,1,1,0.152,0.152,0.2,0
1,3.7857,2,2,-5.8556e-11,0,0.71429,6.8386e-11,1,1,0.154,0.154,0.2,0
1,3.7857,2,2,1.282e-11,0,0.71429,2.4651e-10,1,1,0.156,0.156,0.2,0
1,3.7857,2,2,8.3901e-11,0,0.71429,4.2142e-10,1,1,0.158,0.158,0.2,0
1,3.7857,2,2,1.545e-10,0,0.71429,5.911e-10,1,1,0.16,0.16,0.2,0
1,3.7857,2,2,-2.0933e-09,0,0.71429,-6.1802e-10,1,1,0.162,0.162,0.2,0
1,3.7857,2,2,-4.4237e-09,0,0.71429,-1.9487e-09,1,1,0.164,0.164,0.2,0
1,3.7857,2,2,-8.4799e-10,0,0.71429,-5.4503e-10,1,1,0.166,0.166,0.2,0
