"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99999,3.7857,2,2,-9.2995e-06,0,0.71427,-6.8932e-06,9.1968e-15,-8.6621e-15,-1.8665e-14,1.811e-14,0,0.99999,1,0,0,0.2,0
0.99999,3.7857,2,2,-8.5786e-06,0,0.71427,-6.23e-06,9.422e-15,-1.0588e-14,-2.0529e-14,1.9056e-14,0,0.99999,1,0.002,0.002,0.2,0
0.99999,3.7857,2,2,-7.8576e-06,0,0.71427,-5.5668e-06,9.6471e-15,-1.2513e-14,-2.2394e-14,2.0002e-14,0,0.99999,1,0.004,0.004,0.2,0
1,3.7857,2,2,3.4493e-07,0,0.71429,5.9842e-08,7.6372e-15,-1.1741e-15,-1.0951e-14,1.3743e-14,0,1,1,0.006,0.006,0.2,0
1,3.7857,2,2,8.7215e-06,0,0.7143,5.8019e-06,5.5753e-15,1.0474e-14,8.0018e-16,7.3171e-15,0,1,1,0.008,0.008,0.2,0
1,3.7858,2,2,1.7098e-05,0,0.71431,1.1544e-05,3.5134e-15,2.2121e-14,1.2552e-14,8.9101e-16,0,1,1,0.01,0.01,0.2,0
1,3.7858,2,2,2.5475e-05,0,0.71432,1.7286e-05,1.4515e-15,3.3769e-14,2.4303e-14,-5.5351e-15,0,1,1,0.012,0.012,0.2,0
1,3.7858,1.9999,2,3.2967e-05,0,0.71433,2.2556e-05,-7.5568e-16,3.9536e-14,3.168e-14,-1.0922e-14,0,1,1,0.014,0.014,0.2,0
1,3.7859,1.9999,2.0001,4.0358e-05,0,0.71434,2.7771e-05,-2.9795e-15,4.463e-14,3.8556e-14,-1.619e-14,0,1,1,0.016,0.016,0.2,0
1.0001,3.7859,1.9999,2.0001,4.7749e-05,0,0.71435,3.2986e-05,-5.2032e-15,4.9725e-14,4.5431e-14,-2.1457e-14,0,1,1,0.018,0.018,0.2,0
1.0001,3.7859,1.9999,2.0001,5.514e-05,0,0.71436,3.8202e-05,-7.427e-15,5.4819e-14,5.2307e-14,-2.6725e-14,0,1,1,0.02,0.02,0.2,0
1.0001,3.786,1.9999,2.0001,6.2531e-05,0,0.71437,4.3417e-05,-9.6508e-15,5.9913e-14,5.9183e-14,-3.1993e-14,0,1,1,0.022,0.022,0.2,0
1.0001,3.786,1.9999,2.0001,6.9922e-05,0,0.71438,4.8632e-05,-1.1875e-14,6.5007e-14,6.6059e-14,-3.7261e-14,0,1,1,0.024,0.024,0.2,0
1.0001,3.786,1.9999,2.0001,7.7314e-05,0,0.71439,5.3848e-05,-1.4098e-14,7.0102e-14,7.2935e-14,-4.2529e-14,0,1.0001,1,0.026,0.026,0.2,0
1.0001,3.786,1.9999,2.0001,8.4705e-05,0,0.7144,5.9063e-05,-1.6322e-14,7.5196e-14,7.9811e-14,-4.7797e-14,0,1.0001,1,0.028,0.028,0.2,0
1.0001,3.7861,1.9998,2.0001,9.2096e-05,0,0.71441,6.4278e-05,-1.8546e-14,8.029e-14,8.6687e-14,-5.3064e-14,0,1.0001,1,0.03,0.03,0.2,0
1.0001,3.7861,1.9998,2.0002,9.9487e-05,0,0.71442,6.9494e-05,-2.077e-14,8.5385e-14,9.3563e-14,-5.8332e-14,0,1.0001,1,0.032,0.032,0.2,0
1.0001,3.7861,1.9998,2.0002,0.00010688,0,0.71444,7.4709e-05,-2.2993e-14,9.0479e-14,1.0044e-13,-6.36e-14,0,1.0001,1,0.034,0.034,0.2,0
1.0001,3.7862,1.9998,2.0002,0.00011427,0,0.71445,7.9925e-05,-2.5217e-14,9.5573e-14,1.0732e-13,-6.8868e-14,0,1.0001,1,0.036,0.036,0.2,0
1.0002,3.7862,1.9998,2.0002,0.00012166,0,0.71446,8.514e-05,-2.7441e-14,1.0067e-13,1.1419e-13,-7.4136e-14,0,1.0001,1,0.038,0.038,0.2,0
1.0001,3.7861,1.9998,2.0002,0.00011249,0,0.71444,7.8488e-05,-2.5158e-14,9.5149e-14,1.0626e-13,-6.9184e-14,0,1.0001,1,0.04,0.04,0.2,0
1.0001,3.786,1.9998,2.0001,8.4224e-05,0,0.7144,5.8147e-05,-1.7675e-14,7.7387e-14,8.1238e-14,-5.2444e-14,0,1.0001,1,0.042,0.042,0.2,0
1,3.7858,1.9998,2,5.5955e-05,0,0.71436,3.7805e-05,-1.0192e-14,5.9626e-14,5.6219e-14,-3.5704e-14,0,1.0001,1,0.044,0.044,0.2,0
1,3.7856,1.9999,1.9999,2.7686e-05,0,0.71432,1.7464e-05,-2.7096e-15,4.1865e-14,3.1201e-14,-1.8965e-14,0,1,1,0.046,0.046,0.2,0
0.99995,3.7854,1.9999,1.9998,-5.8239e-07,0,0.71428,-2.8767e-06,4.773e-15,2.4104e-14,6.1823e-15,-2.2251e-15,0,1,1,0.048,0.048,0.2,0
0.99991,3.7853,1.9999,1.9997,-2.8851e-05,0,0.71424,-2.3218e-05,1.2256e-14,6.3427e-15,-1.8836e-14,1.4515e-14,0,1,1,0.05,0.05,0.2,0
0.99986,3.7851,1.9999,1.9997,-5.712e-05,0,0.7142,-4.3559e-05,1.9738e-14,-1.1418e-14,-4.3855e-14,3.1254e-14,0,1,1,0.052,0.052,0.2,0
0.99981,3.7849,2,1.9996,-9.4635e-05,0,0.71415,-6.9564e-05,2.7485e-14,-3.2017e-14,-7.1831e-14,4.9006e-14,0,1,1,0.054,0.054,0.2,0
0.99969,3.7845,2.0001,1.9994,-0.00019421,0,0.71402,-0.00013359,3.7007e-14,-7.1657e-14,-1.1966e-13,7.3546e-14,0,0.99994,1,0.056,0.056,0.2,0
0.99957,3.7841,2.0002,1.9993,-0.00029378,0,0.71389,-0.00019761,4.6529e-14,-1.113e-13,-1.6748e-13,9.8086e-14,0,0.99987,1,0.058,0.058,0.2,0
0.99946,3.7837,2.0004,1.9991,-0.00039335,0,0.71376,-0.00026163,5.605e-14,-1.5094e-13,-2.1531e-13,1.2263e-13,0,0.99981,1,0.06,0.06,0.2,0
