"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,3.7857,2,2,-2.6481e-11,0,0.71429,-4.2767e-12,5.0284e-18,3.5237e-17,2.5999e-17,-4.4642e-18,0,1,1,0,0,0.2,0
1,3.7857,2,2,-1.2791e-11,0,0.71429,-7.0309e-13,4.0492e-18,2.6796e-17,2.0012e-17,-3.0223e-18,0,1,1,0.002,0.002,0.2,0
1,3.7857,2,2,1.2834e-12,0,0.71429,2.9586e-12,3.0717e-18,1.8252e-17,1.3882e-17,-1.5625e-18,0,1,1,0.004,0.004,0.2,0
1,3.7857,2,2,1.5358e-11,0,0.71429,6.6203e-12,2.0941e-18,9.707e-18,7.7514e-18,-1.0277e-19,0,1,1,0.006,0.006,0.2,0
1,3.7857,2,2,2.9432e-11,0,0.71429,1.0282e-11,1.1166e-18,1.1623e-18,1.6211e-18,1.357e-18,0,1,1,0.008,0.008,0.2,0
1,3.7857,2,2,4.3507e-11,0,0.71429,1.3944e-11,1.3905e-19,-7.3824e-18,-4.5092e-18,2.8167e-18,0,1,1,0.01,0.01,0.2,0
1,3.7857,2,2,5.7581e-11,0,0.71429,1.7605e-11,-8.385e-19,-1.5927e-17,-1.0639e-17,4.2765e-18,0,1,1,0.012,0.012,0.2,0
1,3.7857,2,2,9.8498e-11,0,0.71429,2.4727e-11,-2.5049e-18,-3.3441e-17,-2.1707e-17,5.1627e-18,0,1,1,0.014,0.014,0.2,0
1,3.7857,2,2,1.4768e-10,0,0.71429,3.2876e-11,-4.4385e-18,-5.4462e-17,-3.4653e-17,5.7869e-18,0,1,1,0.016,0.016,0.2,0
1,3.7857,2,2,4.321e-12,0,0.71429,1.4109e-11,-4.5274e-18,-5.2983e-17,-3.2255e-17,5.7205e-18,0,1,1,0.018,0.018,0.2,0
1,3.7857,2,2,-1.3904e-10,0,0.71429,-4.6575e-12,-4.6164e-18,-5.1503e-17,-2.9858e-17,5.6542e-18,0,1,1,0.02,0.02,0.2,0
1,3.7857,2,2,-2.824e-10,0,0.71429,-2.3424e-11,-4.7053e-18,-5.0023e-17,-2.746e-17,5.5878e-18,0,1,1,0.022,0.022,0.2,0
1,3.7857,2,2,-4.2576e-10,0,0.71429,-4.2191e-11,-4.7943e-18,-4.8544e-17,-2.5063e-17,5.5214e-18,0,1,1,0.024,0.024,0.2,0
1,3.7857,2,2,-5.6912e-10,0,0.71429,-6.0957e-11,-4.8832e-18,-4.7064e-17,-2.2666e-17,5.455e-18,0,1,1,0.026,0.026,0.2,0
1,3.7857,2,2,-7.1248e-10,0,0.71429,-7.9724e-11,-4.9721e-18,-4.5584e-17,-2.0268e-17,5.3886e-18,0,1,1,0.028,0.028,0.2,0
