"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.737161118,      -2.442044274,      -2.677256455,      -2.086191666
          0,           0,           1,      -3.050838277,       -2.79212117,      -3.004509492,      -2.429889751
          0,           0,           2,      -3.283784395,      -3.044521941,      -3.237031039,      -2.681674406
          0,           0,           3,      -3.460932807,      -3.235077336,      -3.413587864,      -2.872793084
          0,           0,           4,      -3.591696216,      -3.378645633,      -3.557325896,      -3.018633541
          0,           0,           5,      -3.685905898,      -3.483221438,      -3.682635121,       -3.12434736
          0,           0,           6,      -3.757698689,      -3.561717463,      -3.792914288,      -3.201353351
          0,           0,           7,      -3.819254995,      -3.627149888,      -3.880804634,      -3.262408635
          0,           0,           8,      -3.856457789,      -3.669965654,      -3.928164294,      -3.300829302
          0,           0,           9,      -3.890926023,      -3.707394442,      -3.962193262,      -3.334890224
          0,           0,          10,      -3.922794086,      -3.739423102,      -3.986560744,      -3.364977731
          0,           0,          11,      -3.951751295,      -3.765495642,      -4.005767904,       -3.39088069
          0,           0,          12,      -3.977867084,      -3.786386317,      -4.022852128,      -3.413132188
          0,           0,          13,      -4.002045417,      -3.803918822,      -4.039772032,      -3.433397718
          0,           0,          14,      -4.025221972,      -3.820090347,      -4.058252698,      -3.452782973
          0,           0,          15,      -4.040154886,      -3.833608043,      -4.073500833,      -3.467829141
          0,           0,          16,      -4.055587666,      -3.847661264,      -4.089223584,      -3.483635796
          0,           0,          17,      -4.071547539,      -3.861878684,      -4.105529265,      -3.499580914
          0,           0,          18,      -4.088348368,      -3.876381499,      -4.122517791,      -3.515570763
          0,           0,          19,      -4.106056125,      -3.891255069,      -4.140162109,      -3.531687566
          0,           0,          20,      -4.124591427,      -3.906791315,      -4.158559932,      -3.548272981
          0,           0,          21,      -4.144338696,        -3.9240232,      -4.178121146,      -3.566376432
          0,           0,          22,      -4.164309633,      -3.942925582,       -4.19843709,      -3.586025877
          0,           0,          23,      -4.184201028,       -3.96307943,      -4.219657727,      -3.606885658
          0,           0,          24,      -4.203966236,      -3.983989738,      -4.241436409,      -3.628502382
          0,           0,          25,      -4.224722382,      -4.005698105,      -4.264147238,      -3.650955776
          0,           0,          26,      -4.245112821,      -4.026542573,      -4.286303805,      -3.672585268
          0,           0,          27,      -4.265185278,      -4.046551386,      -4.307561566,      -3.693353684
          0,           0,          28,      -4.284989659,      -4.065874779,       -4.32808195,      -3.713369312
          0,           0,          29,      -4.305745173,       -4.08530466,      -4.348973031,      -3.733482047
          0,           0,          30,      -4.318185006,      -4.099029664,      -4.362708786,      -3.747416939
          0,           0,          31,      -4.331314041,      -4.113867687,      -4.376696628,      -3.762607985
          0,           0,          32,      -4.344943184,      -4.129102523,      -4.391251336,      -3.778234748
          0,           0,          33,      -4.358971068,       -4.14404802,      -4.406508781,       -3.79355354
          0,           0,          34,      -4.373533355,       -4.15845565,      -4.422236848,      -3.808329262
          0,           0,          35,      -4.388917696,      -4.172546745,      -4.438236967,      -3.822841999
          0,           0,          36,      -4.405321861,      -4.186768985,      -4.454403376,      -3.837602538
          0,           0,          37,      -4.422844621,      -4.201660413,       -4.47099519,       -3.85315101
          0,           0,          38,      -4.441481537,       -4.21771496,       -4.48840433,      -3.869909764
          0,           0,          39,      -4.452631502,      -4.229678084,      -4.500374438,      -3.882138096
          0,           0,          40,       -4.46452347,      -4.242944158,      -4.512675522,      -3.895799002
          0,           0,          41,      -4.476901341,      -4.256904658,      -4.525636668,      -3.910084891
          0,           0,          42,      -4.489596896,      -4.270896175,      -4.539313317,       -3.92423335
          0,           0,          43,      -4.502638971,      -4.284589828,       -4.55332705,      -3.937881761
          0,           0,          44,      -4.516252177,      -4.298136084,      -4.567442382,      -3.951204649
          0,           0,          45,      -4.530754227,      -4.311988881,      -4.581672724,      -3.964780425
          0,           0,          46,      -4.546405693,      -4.326685471,      -4.596387753,      -3.979277336
          0,           0,          47,      -4.563200655,      -4.342432259,      -4.612245317,      -3.994949821
          0,           0,          48,      -4.580248723,      -4.358969082,      -4.629321047,      -4.011548285
          0,           0,          49,      -4.597554246,      -4.376299274,      -4.647379037,      -4.029076748
          0,           0,          50,      -4.615088479,      -4.394329374,       -4.66589385,      -4.047245798
          0,           0,          51,      -4.632832057,      -4.412763705,      -4.684610165,       -4.06572366
          0,           0,          52,      -4.650655023,      -4.431204024,      -4.703385432,      -4.084159466
          0,           0,          53,      -4.668606779,      -4.449696367,      -4.721959422,      -4.102576377
          0,           0,          54,      -4.686732774,      -4.468235516,      -4.740542143,      -4.121006099
          0,           0,          55,      -4.705232114,      -4.487003905,      -4.759369302,      -4.139687683
          0,           0,          56,      -4.724336143,      -4.506217814,      -4.778854643,      -4.158896459
          0,           0,          57,      -4.744287548,      -4.526194637,      -4.799264544,      -4.178944306
          0,           0,          58,      -4.765335284,       -4.54725777,      -4.820814181,      -4.200157446
          0,           0,          59,      -4.787626312,      -4.569446757,      -4.843918065,      -4.222627226
