"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,3.7857,2,2,-8.522e-08,0,0.71429,-9.1662e-08,4.9511e-18,6.6738e-18,-1.8777e-17,3.7951e-18,0,1,1,0,0,0.2,0
1,3.7857,2,2,-9.3986e-08,0,0.71429,-1.0262e-07,6.6238e-18,-1.0148e-18,-1.654e-17,3.0751e-18,0,1,1,0.002,0.002,0.2,0
1,3.7857,2,2,-1.0275e-07,0,0.71429,-1.1357e-07,8.2965e-18,-8.7033e-18,-1.4303e-17,2.3551e-18,0,1,1,0.004,0.004,0.2,0
1,3.7857,2,2,-1.1152e-07,0,0.71429,-1.2452e-07,9.9692e-18,-1.6392e-17,-1.2066e-17,1.6351e-18,0,1,1,0.006,0.006,0.2,0
1,3.7857,2,2,-1.2029e-07,0,0.71429,-1.3547e-07,1.1642e-17,-2.408e-17,-9.8297e-18,9.151e-19,0,1,1,0.008,0.008,0.2,0
1,3.7857,2,2,-1.9964e-08,0,0.71429,-6.3556e-08,1.1568e-17,-2.3409e-17,-2.3359e-18,1.1529e-18,0,1,1,0.01,0.01,0.2,0
1,3.7857,2,2,9.4363e-08,0,0.71429,1.9e-08,1.127e-17,-2.1663e-17,5.8328e-18,1.5137e-18,0,1,1,0.012,0.012,0.2,0
1,3.7857,2,2,2.0869e-07,0,0.71429,1.0156e-07,1.0972e-17,-1.9918e-17,1.4001e-17,1.8745e-18,0,1,1,0.014,0.014,0.2,0
1,3.7857,2,2,3.2302e-07,0,0.71429,1.8411e-07,1.0674e-17,-1.8173e-17,2.217e-17,2.2353e-18,0,1,1,0.016,0.016,0.2,0
1,3.7857,2,2,4.3734e-07,0,0.71429,2.6667e-07,1.0375e-17,-1.6428e-17,3.0339e-17,2.596e-18,0,1,1,0.018,0.018,0.2,0
1,3.7857,2,2,5.5167e-07,0,0.71429,3.4923e-07,1.0077e-17,-1.4682e-17,3.8507e-17,2.9568e-18,0,1,1,0.02,0.02,0.2,0
1,3.7857,2,2,6.66e-07,0,0.71429,4.3178e-07,9.7792e-18,-1.2937e-17,4.6676e-17,3.3176e-18,0,1,1,0.022,0.022,0.2,0
1,3.7857,2,2,7.8033e-07,0,0.71429,5.1434e-07,9.481e-18,-1.1192e-17,5.4845e-17,3.6784e-18,0,1,1,0.024,0.024,0.2,0
1,3.7857,2,2,8.9465e-07,0,0.71429,5.969e-07,9.1829e-18,-9.4466e-18,6.3014e-17,4.0392e-18,0,1,1,0.026,0.026,0.2,0
1,3.7857,2,2,1.009e-06,0,0.71429,6.7945e-07,8.8847e-18,-7.7013e-18,7.1182e-17,4.3999e-18,0,1,1,0.028,0.028,0.2,0
1,3.7857,2,2,1.1233e-06,0,0.71429,7.6201e-07,8.5866e-18,-5.9561e-18,7.9351e-17,4.7607e-18,0,1,1,0.03,0.03,0.2,0
1,3.7857,2,2,1.2376e-06,0,0.71429,8.4457e-07,8.2885e-18,-4.2108e-18,8.752e-17,5.1215e-18,0,1,1,0.032,0.032,0.2,0
1,3.7857,2,2,1.5137e-06,0,0.71429,1.0473e-06,7.2727e-18,4.2773e-18,9.3807e-17,4.7101e-18,0,1,1,0.034,0.034,0.2,0
1,3.7857,2,2,8.7378e-08,0,0.71429,-1.1321e-07,6.9389e-18,4.6335e-18,9.1823e-17,5.1955e-18,0,1,1,0.036,0.036,0.2,0
1,3.7857,2,2,-1.7602e-06,0,0.71428,-1.5204e-06,6.6543e-18,2.7151e-18,8.5584e-17,5.5852e-18,0,1,1,0.038,0.038,0.2,0
0.99999,3.7857,2,2,-3.3043e-06,0,0.71428,-2.5674e-06,5.9971e-18,2.7679e-18,7.7539e-17,5.2993e-18,0,1,1,0.04,0.04,0.2,0
0.99999,3.7857,2,2,-4.8485e-06,0,0.71428,-3.6144e-06,5.3398e-18,2.8208e-18,6.9494e-17,5.0135e-18,0,1,1,0.042,0.042,0.2,0
0.99999,3.7857,2,2,-6.3927e-06,0,0.71428,-4.6614e-06,4.6826e-18,2.8736e-18,6.1449e-17,4.7276e-18,0,1,1,0.044,0.044,0.2,0
0.99999,3.7857,2,2,-7.9368e-06,0,0.71427,-5.7084e-06,4.0254e-18,2.9264e-18,5.3403e-17,4.4418e-18,0,0.99999,1,0.046,0.046,0.2,0
0.99999,3.7857,2,2,-9.481e-06,0,0.71427,-6.7554e-06,3.3682e-18,2.9793e-18,4.5358e-17,4.156e-18,0,0.99999,1,0.048,0.048,0.2,0
0.99999,3.7857,2,2,-1.1025e-05,0,0.71427,-7.8023e-06,2.711e-18,3.0321e-18,3.7313e-17,3.8701e-18,0,0.99999,1,0.05,0.05,0.2,0
0.99998,3.7857,2,2,-1.2569e-05,0,0.71427,-8.8493e-06,2.0537e-18,3.085e-18,2.9268e-17,3.5843e-18,0,0.99999,1,0.052,0.052,0.2,0
0.99998,3.7857,2,2,-1.4114e-05,0,0.71427,-9.8963e-06,1.3965e-18,3.1378e-18,2.1223e-17,3.2984e-18,0,0.99999,1,0.054,0.054,0.2,0
0.99998,3.7857,2,2,-1.5658e-05,0,0.71426,-1.0943e-05,7.3931e-19,3.1906e-18,1.3178e-17,3.0126e-18,0,0.99999,1,0.056,0.056,0.2,0
0.99998,3.7857,2,2,-1.7202e-05,0,0.71426,-1.199e-05,8.2087e-20,3.2435e-18,5.1324e-18,2.7268e-18,0,0.99999,1,0.058,0.058,0.2,0
0.99998,3.7857,2,2,-1.8746e-05,0,0.71426,-1.3037e-05,-5.7513e-19,3.2963e-18,-2.9127e-18,2.4409e-18,0,0.99999,1,0.06,0.06,0.2,0
1,3.7857,2,2,-2.9823e-06,0,0.71428,-1.7878e-06,1.3674e-19,1.7876e-18,-3.4977e-18,3.0035e-18,0,0.99999,1,0.062,0.062,0.2,0
1,3.7858,2,2.0001,1.69e-05,0,0.71431,1.2388e-05,1.1744e-18,-9.2722e-20,-2.3075e-18,3.768e-18,0,1,1,0.064,0.064,0.2,0
1.0001,3.7859,2,2.0001,3.6781e-05,0,0.71434,2.6563e-05,2.212e-18,-1.973e-18,-1.1174e-18,4.5325e-18,0,1,1,0.066,0.066,0.2,0
1.0001,3.786,1.9999,2.0001,5.6663e-05,0,0.71437,4.0738e-05,3.2497e-18,-3.8533e-18,7.2781e-20,5.2969e-18,0,1,1,0.068,0.068,0.2,0
1.0001,3.7861,1.9999,2.0002,7.6545e-05,0,0.7144,5.4914e-05,4.2873e-18,-5.7336e-18,1.2629e-18,6.0614e-18,0,1,1,0.07,0.07,0.2,0
1.0001,3.7862,1.9999,2.0002,9.6427e-05,0,0.71442,6.9089e-05,5.3249e-18,-7.6139e-18,2.4531e-18,6.8259e-18,0,1,1,0.072,0.072,0.2,0
1.0002,3.7863,1.9999,2.0003,0.00011631,0,0.71445,8.3264e-05,6.3626e-18,-9.4942e-18,3.6432e-18,7.5903e-18,0,1.0001,1,0.074,0.074,0.2,0
1.0002,3.7864,1.9998,2.0003,0.00013248,0,0.71448,9.4991e-05,6.9763e-18,-1.0578e-17,4.3694e-18,8.4619e-18,0,1.0001,1,0.076,0.076,0.2,0
1.0002,3.7865,1.9998,2.0003,0.00014401,0,0.71449,0.00010366,7.0606e-18,-1.0666e-17,4.5159e-18,9.4674e-18,0,1.0001,1,0.078,0.078,0.2,0
1.0002,3.7866,1.9998,2.0004,0.00015554,0,0.71451,0.00011232,7.1448e-18,-1.0753e-17,4.6624e-18,1.0473e-17,0,1.0001,1,0.08,0.08,0.2,0
1.0003,3.7866,1.9998,2.0004,0.00016707,0,0.71453,0.00012099,7.2291e-18,-1.0841e-17,4.8089e-18,1.1478e-17,0,1.0001,1,0.082,0.082,0.2,0
1.0003,3.7866,1.9998,2.0004,0.00016491,0,0.71452,0.0001196,7.2451e-18,-9.2788e-18,4.6306e-18,1.1876e-17,0,1.0001,1,0.084,0.084,0.2,0
1.0002,3.7864,1.9998,2.0003,0.00012708,0,0.71447,9.1993e-05,7.0835e-18,-3.4173e-18,3.6063e-18,1.069e-17,0,1.0001,1,0.086,0.086,0.2,0
1.0001,3.7861,1.9998,2.0001,8.9252e-05,0,0.71441,6.4388e-05,6.9219e-18,2.4441e-18,2.582e-18,9.5039e-18,0,1.0001,1,0.088,0.088,0.2,0
1,3.7858,1.9999,2,5.1422e-05,0,0.71436,3.6784e-05,6.7603e-18,8.3055e-18,1.5577e-18,8.318e-18,0,1.0001,1,0.09,0.09,0.2,0
0.99998,3.7856,1.9999,1.9999,1.3593e-05,0,0.7143,9.1801e-06,6.5987e-18,1.4167e-17,5.3337e-19,7.1321e-18,0,1,1,0.092,0.092,0.2,0
0.99991,3.7853,1.9999,1.9998,-2.4237e-05,0,0.71425,-1.8424e-05,6.4372e-18,2.0028e-17,-4.9095e-19,5.9462e-18,0,1,1,0.094,0.094,0.2,0
0.99984,3.7851,1.9999,1.9996,-6.2067e-05,0,0.71419,-4.6028e-05,6.2756e-18,2.589e-17,-1.5153e-18,4.7603e-18,0,1,1,0.096,0.096,0.2,0
0.99977,3.7848,1.9999,1.9995,-9.9896e-05,0,0.71414,-7.3632e-05,6.114e-18,3.1751e-17,-2.5396e-18,3.5744e-18,0,1,1,0.098,0.098,0.2,0
0.9997,3.7845,1.9999,1.9994,-0.00013773,0,0.71408,-0.00010124,5.9524e-18,3.7613e-17,-3.5639e-18,2.3885e-18,0,1,1,0.1,0.1,0.2,0
0.99964,3.7843,2,1.9992,-0.00017556,0,0.71403,-0.00012884,5.7908e-18,4.3474e-17,-4.5882e-18,1.2026e-18,0,1,1,0.102,0.102,0.2,0
0.99952,3.7838,2,1.999,-0.00024372,0,0.71393,-0.00018,5.4771e-18,3.869e-17,-3.644e-18,-6.1684e-19,0,0.99998,1,0.104,0.104,0.2,0
0.9994,3.7834,2.0001,1.9988,-0.00031444,0,0.71382,-0.00023314,5.1506e-18,3.3009e-17,-2.5339e-18,-2.4896e-18,0,0.99995,1,0.106,0.106,0.2,0
0.99927,3.7829,2.0001,1.9986,-0.00038516,0,0.71371,-0.00028628,4.8241e-18,2.7327e-17,-1.4238e-18,-4.3623e-18,0,0.99993,1,0.108,0.108,0.2,0
0.99922,3.7827,2.0002,1.9986,-0.0004343,0,0.71364,-0.00032516,4.5193e-18,2.2587e-17,6.3729e-19,-5.3873e-18,0,0.99987,1,0.11,0.11,0.2,0
0.99923,3.7828,2.0004,1.9987,-0.00046583,0,0.71358,-0.0003524,4.2323e-18,1.8614e-17,3.475e-18,-5.72e-18,0,0.99979,1,0.112,0.112,0.2,0
0.99923,3.7829,2.0006,1.9988,-0.00049736,0,0.71353,-0.00037964,3.9453e-18,1.4641e-17,6.3126e-18,-6.0527e-18,0,0.9997,1,0.114,0.114,0.2,0
0.99924,3.783,2.0008,1.9989,-0.0005289,0,0.71347,-0.00040688,3.6582e-18,1.0669e-17,9.1503e-18,-6.3854e-18,0,0.99962,1,0.116,0.116,0.2,0
0.99924,3.783,2.001,1.999,-0.00056043,0,0.71342,-0.00043412,3.3712e-18,6.6957e-18,1.1988e-17,-6.718e-18,0,0.99954,1,0.118,0.118,0.2,0
0.99925,3.7831,2.0011,1.9991,-0.00059196,0,0.71336,-0.00046136,3.0842e-18,2.723e-18,1.4826e-17,-7.0507e-18,0,0.99946,1,0.12,0.12,0.2,0
0.99925,3.7832,2.0013,1.9992,-0.00062349,0,0.71331,-0.0004886,2.7972e-18,-1.2498e-18,1.7663e-17,-7.3834e-18,0,0.99938,1,0.122,0.122,0.2,0
0.9997,3.7849,2.0011,2,-0.00029716,0,0.71373,-0.00027932,2.7816e-18,-3.56e-18,1.4421e-17,-6.4554e-18,0,0.99952,1,0.124,0.124,0.2,0
1.0003,3.7873,2.0006,2.001,0.00018789,0,0.71436,3.4863e-05,2.8864e-18,-5.1327e-18,8.4808e-18,-4.9682e-18,0,0.99977,1,0.126,0.126,0.2,0
1.001,3.7897,2.0002,2.0021,0.00067295,0,0.71498,0.00034905,2.9913e-18,-6.7054e-18,2.541e-18,-3.4809e-18,0,1,1,0.128,0.128,0.2,0
1.0016,3.7921,1.9997,2.0032,0.001158,0,0.71561,0.00066323,3.0961e-18,-8.2782e-18,-3.3987e-18,-1.9937e-18,0,1.0003,1,0.13,0.13,0.2,0
1.0022,3.7946,1.9993,2.0042,0.0016431,0,0.71624,0.00097742,3.201e-18,-9.8509e-18,-9.3385e-18,-5.0646e-19,0,1.0005,1,0.132,0.132,0.2,0
1.0029,3.797,1.9988,2.0053,0.0021281,0,0.71687,0.0012916,3.3058e-18,-1.1424e-17,-1.5278e-17,9.8077e-19,0,1.0007,1,0.134,0.134,0.2,0
1.0035,3.7994,1.9983,2.0063,0.0026132,0,0.7175,0.0016058,3.4107e-18,-1.2996e-17,-2.1218e-17,2.468e-18,0,1.001,1,0.136,0.136,0.2,0
1.004,3.8012,1.9981,2.0072,0.0029412,0,0.71792,0.0018171,2.9368e-18,-1.4487e-17,-2.795e-17,3.5116e-18,0,1.0011,1,0.138,0.138,0.2,0
1.0042,3.8022,1.9982,2.0077,0.0030691,0,0.71808,0.0018974,1.725e-18,-1.5871e-17,-3.5693e-17,3.9897e-18,0,1.0011,1,0.14,0.14,0.2,0
1.006,3.8085,1.9965,2.0103,0.0045311,0,0.71995,0.0028314,2.0232e-18,-9.0873e-18,-3.6562e-17,3.4555e-18,0,1.0019,1,0.142,0.142,0.2,0
