"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3264,-2.9135e-21,2.8764e+05,-4.1864,1.8563e-05,-2.9767e-13,-1.3759e-10,1.6285e-14,0,-2.3263e-16,1.1506e+05,0.18776,0.002706,0,0,302.19,0.36626,1,0,1,0,0
1.3271,8.7409e-06,2.8795e+05,0,1.8554e-05,0.06165,28.504,0.00025548,0,5.2074e-05,1.1506e+05,0.18779,0,0,0,302.02,0,1,5e-05,1,5e-05,0
1.328,7.4849e-05,2.8825e+05,0,1.8546e-05,0.087068,40.269,0.00040207,0,0.00010442,1.1506e+05,0.18779,0,0,0,301.83,0,1,0.0001,1,0.0001,0
1.3283,0.00016549,2.8839e+05,0,1.8541e-05,0.096424,44.602,0.00051495,0,0.00015636,1.1506e+05,0.18779,0,0,0,301.74,0,1,0.00015,1,0.00015,0
1.3286,0.00024913,2.8848e+05,0,1.8538e-05,0.10198,47.176,0.00069462,0,0.0002079,1.1506e+05,0.18779,0,0,0,301.68,0,1,0.0002,1,0.0002,0
1.3288,0.00032605,2.8855e+05,0,1.8536e-05,0.10608,49.077,0.00089391,0,0.00025909,1.1506e+05,0.18779,0,0,0,301.63,0,1,0.00025,1,0.00025,0
1.329,0.00039866,2.886e+05,0,1.8534e-05,0.10932,50.579,0.0011041,0,0.00030986,1.1506e+05,0.18779,0,0,0,301.59,0,1,0.0003,1,0.0003,0
1.3291,0.000469,2.8865e+05,0,1.8533e-05,0.11208,51.859,0.001321,0,0.00036024,1.1506e+05,0.18779,0,0,0,301.56,0,1,0.00035,1,0.00035,0
1.3293,0.00053761,2.887e+05,0,1.8532e-05,0.11447,52.967,0.0015439,0,0.00041016,1.1506e+05,0.18779,0,0,0,301.53,0,1,0.0004,1,0.0004,0
1.3294,0.00060485,2.8874e+05,0,1.853e-05,0.11657,53.942,0.0017721,0,0.00045956,1.1506e+05,0.18779,0,0,0,301.51,0,1,0.00045,1,0.00045,0
1.3295,0.00067094,2.8877e+05,0,1.8529e-05,0.11845,54.815,0.0020053,0,0.00050842,1.1506e+05,0.18779,0,0,0,301.48,0,1,0.0005,1,0.0005,0
1.3296,0.00073603,2.888e+05,0,1.8528e-05,0.12016,55.609,0.0022429,0,0.00055672,1.1506e+05,0.18779,0,0,0,301.46,0,1,0.00055,1,0.00055,0
1.3297,0.00080028,2.8884e+05,0,1.8527e-05,0.12175,56.344,0.0024842,0,0.00060452,1.1506e+05,0.18779,0,0,0,301.44,0,1,0.0006,1,0.0006,0
